"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","REGION_NAME","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"420",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR393","34","Костромская область","FZZNOE24",1149.57,473724.7
"421",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR394","61","Рязанская область","FZZNOE24",1243.39,522954.86
"422",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR395","46","Московская область","FZZMSK26",1194.91,436675.73
"423",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR402","76200","Забайкальский край","FZSBCH04",688.97,658765.85
"424",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR405","49","Новгородская область","FZSZOE27",1081.6,455871.8
"425",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR406","66","Смоленская область","FZZNOE24",1173.21,451978.01
"426",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR407","25","Иркутская область","FZSBOE01",1023.29,461302.17
"427",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR420","19","Вологодская область","FZZNOE24",1176.42,559969.74
"428",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR421","66","Смоленская область","FZZNOE24",1110.84,457306.11
"429",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR422","66","Смоленская область","FZZNOE24",1125.83,458957.69
"430",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR434","25","Иркутская область","FZSBOE01",1091.56,437820.87
"431",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR435","41","Ленинградская область","FZSZOE27",6720.25,NA
"432",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR436","41","Ленинградская область","FZSZOE27",1101.44,422945.8
"433",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR440","86","Республика Карелия","FZSZOE27",1099.24,404232.92
"434",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR452","65","Свердловская область","FZUROE07",1050.88,364347.01
"435",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR453","65","Свердловская область","FZUROE07",1030.88,470494.06
"436",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR456","04","Красноярский край","FZSBOE01",934.03,511455.68
"437",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR457","78","Ярославская область","FZZNOE24",1260.48,184054.81
"438",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR459","04","Красноярский край","FZSBOE01",984.16,471359.93
"439",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR460","65","Свердловская область","FZUROE07",1249.79,215789.99
"440",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR463","65","Свердловская область","FZUROE07",1110.92,458694.38
"441",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR466","46","Московская область","FZZMSK26",1226.37,436474.61
"442",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR467","53","Оренбургская область","FZUROE07",1343.48,452984.5
"443",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR468","76200","Забайкальский край","FZSBCH04",733.64,671320.92
"444",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR469","76200","Забайкальский край","FZSBCH04",717.85,664626.84
"445",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR471","76200","Забайкальский край","FZSBCH04",683.06,668752.07
"446",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR475","57","Пермский край","FZUROE07",1114.86,351657.25
"447",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR476","58","Псковская область","FZSZOE27",1092.65,449167.62
"448",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR480","76200","Забайкальский край","FZSBCH04",720.07,665191.86
"449",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR481","04","Красноярский край","FZSBOE01",933.84,480027.79
"450",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR482","04","Красноярский край","FZSBOE01",932.75,475275.08
"451",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR483","25","Иркутская область","FZSBOE01",978.03,467699.38
"452",2016-11-01,"МУП ""Объединение Истринские электросети""","ISTRSETI","POISTRS1","46","Московская область","FZZMSK26",1220.81,439308.52
"453",2016-11-01,"МУП ""Объединение Истринские электросети""","ISTRSETI","POISTRS2","46","Московская область","FZZMSK26",1214.37,440424.45
"454",2016-11-01,"АО ""Петербургская сбытовая компания""","LENENERG","POMSKENE","52","Омская область","FZSBOM03",1061.98,471759.51
"455",2016-11-01,"АО ""Петербургская сбытовая компания""","LENENERG","POMSKEZN","52","Омская область","FZURTU08",1203.68,431682.24
"456",2016-11-01,"ООО ""ИНТЕР РАО - Орловский энергосбыт""","IRAORLSB","PORELENE","54","Орловская область","FZZNOE24",1176.07,465512.03
"457",2016-11-01,"ОАО ""ЭнергосбыТ Плюс""","ORENBENE","PORENBEN","53","Оренбургская область","FZUROE07",1217.27,451827.72
"458",2016-11-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL1","53","Оренбургская область","FZUROE07",1270.65,441568.92
"459",2016-11-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL2","53","Оренбургская область","FZUROE07",1272.92,444016.23
"460",2016-11-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL3","53","Оренбургская область","FZUROE07",1256.24,450765.77
"461",2016-11-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL4","53","Оренбургская область","FZUROE07",1292,438072.75
"462",2016-11-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL5","53","Оренбургская область","FZUROE07",1270.91,450628.25
"463",2016-11-01,"ООО ""ТНС энерго Пенза""","ENTREDIN","PPENZAEN","56","Пензенская область","FZVLOE13",1213.78,434922.72
"464",2016-11-01,"ПАО ""Пермэнергосбыт""","PERMENER","PPERMENE","57","Пермский край","FZUROE07",1166.96,448370
"465",2016-11-01,"ОАО ""Псковэнергосбыт""","PSKOVENE","PPSKOVEN","58","Псковская область","FZSZOE27",1120.61,448104.22
"466",2016-11-01,"ОАО ""Пятигорские электрические сети""","PYATELSE","PPYATELS","07","Ставропольский край","FZYUOE16",1731.81,547380.28
"467",2016-11-01,"ООО ""РЭК""","REKKURSK","PREKKUR1","38","Курская область","FZZNOE24",1121.72,438338.87
"468",2016-11-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO1","41","Ленинградская область","FZSZOE27",1048.16,465396.87
"469",2016-11-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO2","41","Ленинградская область","FZSZOE27",1086.18,464292.81
"470",2016-11-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO3","41","Ленинградская область","FZSZOE27",1117.21,463646.68
